シーン,時間,用途,AI画像プロンプト（英語）,いらすとやURL,いらすとや素材名,備考
サムネ,--,サムネイル,"Split composition, left side: disheveled crying woman in worn clothes, right side: confident businessman in expensive suit, dramatic lighting, anime style",https://www.irasutoya.com/2014/06/blog-post_5336.html,泣いている女性のイラスト,文字は別途追加「年収1000万!?」
導入,0:01,元カノ泣き顔,"Close-up of a young woman's face crying, mascara running, desperate expression, purple dark background, anime style",https://www.irasutoya.com/2016/11/blog-post_966.html,泣いている女性会社員のイラスト（スーツ）,紫系の暗い背景で
導入,0:03,俺の余裕顔,"Confident young businessman smiling smugly, arms crossed, blue bright background, anime style",https://www.irasutoya.com/2019/01/blog-post_57.html,ガッツポーズのイラスト（スーツ）,青系の明るい背景
展開①,0:06,給与明細を見る男,"Tired young man looking at payslip document with disappointed expression, messy room background, anime style",https://www.irasutoya.com/2015/09/blog-post_59.html,給与明細書のイラスト,手取り15万の数字を追加
展開①,0:08,女の冷たい表情,"Young woman with cold dismissive expression, arms crossed, looking down at someone, anime style",https://www.irasutoya.com/2014/05/blog-post_4655.html,女性会社員の表情のイラスト「驚いた顔・ひらめいた顔・悩んだ顔・焦った顔」,冷たい表情を選択
展開①,0:12,女の嘲笑顔,"Young woman laughing mockingly, hand covering mouth, cruel smile, anime style",https://www.irasutoya.com/2019/12/blog-post_132.html,本性を隠した人のイラスト（女性）,口元アップ演出
展開①,0:14,スマホを見せる女,"Woman showing smartphone screen with chat messages, smug expression, anime style",https://www.irasutoya.com/2014/07/blog-post_63.html,メッセージアプリのイラスト,LINE画面風の素材を重ねる
展開①,0:16,男の絶望顔,"Young man with shocked devastated expression, tears forming, dark shadow over face, anime style",https://www.irasutoya.com/2016/06/blog-post_154.html,絶望のイラスト（男性）,画面暗転エフェクト追加
展開①,0:18,女の勝ち誇った顔,"Woman flipping hair with triumphant arrogant expression, sparkling background, anime style",https://www.irasutoya.com/2019/12/blog-post_132.html,本性を隠した人のイラスト（女性）,ヘイト最大化ポイント
展開①,0:20,女が去る後ろ姿,"Woman walking away through doorway, back view, leaving behind, anime style",AI生成推奨,--,ドアのSE合わせ
展開②,0:23,男が拳を握る,"Young man clenching fist with determined expression, fire in eyes, dramatic lighting, anime style",https://www.irasutoya.com/2015/09/blog-post_91.html,挫折のイラスト,覚醒の瞬間（反転利用可）
展開②,0:25,参考書を積み上げる,"Stack of textbooks and study materials on desk, highlighters and notes, study scene, anime style",https://www.irasutoya.com/2012/11/blog-post_2743.html,勉強のイラスト「テスト勉強・男の子」,努力の可視化
展開②,0:27,夜中に勉強するシルエット,"Silhouette of man studying at desk late at night, desk lamp light, window showing night sky, anime style",https://www.irasutoya.com/2012/11/blog-post_2743.html,勉強のイラスト「テスト勉強・男の子」,時計は深夜2時など追加
展開②,0:32,成功した俺,"Successful businessman in expensive suit standing in front of high-rise building, confident pose, blue sky, anime style",https://www.irasutoya.com/2019/01/blog-post_57.html,ガッツポーズのイラスト（スーツ）,年収1000万テロップ追加
転換,0:37,ボロアパートの女,"Tired disheveled woman in worn clothes sitting in small messy apartment, bills scattered around, anime style",AI生成推奨,--,借金300万テロップ追加
転換,0:40,LINE通知画面,--,https://www.irasutoya.com/2014/07/blog-post_63.html,メッセージアプリのイラスト,LINE風UI素材を使用
転換,0:45,スマホを操作する手元,"Man's hand holding smartphone, typing message, expensive watch visible, anime style",https://www.irasutoya.com/2014/07/blog-post_63.html,メッセージアプリのイラスト,高級時計を見せる
オチ,0:50,高級レストランで縋る女,"Woman pleading desperately at fancy restaurant table, hands clasped, tears in eyes, anime style",https://www.irasutoya.com/2018/08/blog-post_91.html,レストランでディナーを食べるカップルのイラスト,高級感のある背景
オチ,0:53,美人妻登場,"Beautiful elegant woman appearing beside businessman, warm smile, wedding ring visible, golden lighting, anime style",https://www.irasutoya.com/2018/09/blog-post_41.html,結婚指輪のイラスト,オレンジ・ゴールド系
オチ,0:55,元カノ顔面蒼白,"Woman with pale shocked face, wide eyes, jaw dropped, soul leaving body effect, anime style",https://www.irasutoya.com/2014/05/blog-post_4655.html,女性会社員の表情のイラスト「驚いた顔」,目が点になる表現
オチ,0:57,黒カードを出す手元,"Hand presenting black premium credit card, expensive restaurant bill, elegant gesture, anime style",https://www.irasutoya.com/2014/10/blog-post_937.html,ブラックカードのイラスト（クレジットカード）,黒カード＝富裕層の象徴
オチ,0:58,夫婦が去る後ろ姿,"Couple walking away arm in arm, back view, man in suit woman in dress, bright future ahead, anime style",https://www.irasutoya.com/2017/12/blog-post_84.html,仲良く腕を組む夫婦のイラスト,勝利の余韻
オチ,0:59,女が崩れ落ちる,"Woman collapsed on knees on restaurant floor, defeated, dark shadow, anime style",https://www.irasutoya.com/2018/09/blog-post_228.html,急いで謝る人のイラスト（女性）,因果応報の可視化
オチ,1:00,スッキリ笑顔,"Cute character giving thumbs up with big smile, bright cheerful background",https://www.irasutoya.com/2019/01/blog-post_13.html,ガッツポーズのイラスト（会社員）,「高評価」誘導用
共通,--,2chレス風UI,--,自作テンプレ,--,背景透過のレス風テンプレを別途作成
共通,--,LINE風UI,--,https://www.irasutoya.com/2014/07/blog-post_88.html,流出するメッセージのイラスト,既読・アイコン付きのLINE風素材
